Unnamed: 0,Unnamed: 1,Underweight,Unnamed: 3,Unnamed: 4,Unnamed: 5,Healthy weight,Unnamed: 7,Unnamed: 8,Unnamed: 9,Overweight,Unnamed: 11,Unnamed: 12,Unnamed: 13,Obese,Unnamed: 15,Unnamed: 16,Unnamed: 17,Number of children measured,Unnamed: 19,Participation rate,Unnamed: 21,Unnamed: 22
,,Reception,,Year 6,,Reception,,Year 6,,Reception,,Year 6,,Reception,,Year 6,,,,,,
ONS Code,Area,Prevalence (%),95% confidence interval ±,Prevalence (%),95% confidence interval ±,Prevalence (%),95% confidence interval ±,Prevalence (%),95% confidence interval ±,Prevalence (%),95% confidence interval ±,Prevalence (%),95% confidence interval ±,Prevalence (%),95% confidence interval ±,Prevalence (%),95% confidence interval ±,Reception,Year 6,Reception,Year 6,Old District Code 
,,,,,,,,,,,,,,,,,,,,,,
E09000021,Kingston upon Thames,1.295774647887324,0.5262642816615577,1.5547703180212016,0.6448427851117776,82.30985915492958,1.7756724554301742,70.95406360424028,2.3662177821969532,10.47887323943662,1.4252509744126163,12.226148409893993,1.7074610123364447,5.915492957746479,1.0978065331735278,15.265017667844525,1.8745775584485695,1775,1415,99.05133928571429,99.02029391182646,00AX
E09000022,Lambeth,1.6118200134318332,0.4523643890503871,1.1173184357541899,0.4271612373530219,75.72196104768301,1.5401974571318078,60.12032660077353,1.9898928791432247,11.920752182672935,1.1639847813082504,14.782982380747745,1.4424057032970137,10.745466756212222,1.1124652600047489,23.979372582724537,1.7351134186741446,2978,2327,97.96052631578948,96.35610766045548,00AY
E09000023,Lewisham,0.6205398696866273,0.2711555416629986,0.6198347107438017,0.31276486561956374,74.5888923363326,1.5032603408316894,59.008264462809926,1.9599036903595535,13.37263419174682,1.1752259149248354,15.330578512396695,1.4357298336433264,11.417933602233944,1.0981255164630488,25.041322314049587,1.7265125687854452,3223,2420,92.48206599713056,93.43629343629344,00AZ
E09000024,Merton,0.8920985556499574,0.37992483688988005,1.8991097922848663,0.6519113737994608,77.82497875955819,1.678528250674317,64.15430267062314,2.2903848298713814,11.724723874256584,1.2998941269343571,14.955489614243323,1.703336715750822,9.55819881053526,1.1879817218715332,18.991097922848667,1.8733479830602608,2354,1685,89.06545592130155,91.47665580890336,00BA
E09000025,Newham,2.9799818016378525,0.502696814445912,2.6074498567335245,0.5287720095527186,73.54413102820746,1.3040783269316696,57.59312320916905,1.639838451732167,10.48680618744313,0.9058030915260137,14.183381088825215,1.1576391139518962,12.989080982711556,0.9939046934159722,25.616045845272208,1.4484158971847536,4396,3490,94.072330408731,92.57294429708223,00BB
E09000026,Redbridge,2.3497997329773033,0.48521270624578533,2.1335807050092765,0.49810009629166657,73.1909212283044,1.418893251476592,59.80210265924551,1.6900717177257476,13.030707610146862,1.0783187062257287,14.904143475572045,1.2275889118951442,11.428571428571429,1.0191144728400818,23.160173160173162,1.4541504047983747,3745,3234,98.37142106645653,97.82214156079854,00BC
E09000027,Richmond upon Thames,1.2093023255813953,0.46212062660882025,0.901481004507405,0.47023408363993807,81.16279069767441,1.653166707532603,72.50482936252415,2.2213342331389008,11.116279069767442,1.3289869529239668,13.65099806825499,1.7080992272928388,6.511627906976744,1.0431661111813613,12.942691564713456,1.6700026155712182,2150,1553,94.54705364995603,91.56839622641509,00BD
E09000028,Southwark,1.208791208791209,0.4099974157292471,0.9001285897985427,0.3833298519622683,72.96703296703296,1.6663127757442326,56.36519502786113,2.012824196834626,13.772893772893774,1.2929473127576598,14.273467638234033,1.4197314199332047,12.051282051282051,1.2214556567777413,28.461208744106305,1.8313918923149912,2730,2333,84.23326133909286,85.33284564740308,00BE
E09000029,Sutton,1.0700389105058365,0.4448421000063883,1.943364797334814,0.6377162702918214,78.64785992217898,1.771765895157599,64.8528595224875,2.2055728244132675,11.86770428015564,1.3982765600324016,13.936701832315379,1.5999294607321672,8.414396887159533,1.2002377418317551,19.2670738478623,1.8219861289688137,2056,1801,88.27823100042936,91.18987341772153,00BF
E09000030,Tower Hamlets,1.6943042537851478,0.4803504450678123,2.03511572226656,0.5529348911511134,74.40519105984139,1.6242419399786607,57.74142059058261,1.9343960864217895,10.778658976207641,1.1542234547900296,15.12370311252993,1.4030285522279746,13.121845710165825,1.2566834990920714,25.09976057462091,1.6979332705324386,2774,2506,91.88473004306061,90.4366654637315,00BG
