Unnamed: 0,Unnamed: 1,Underweight,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Healthy weight,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Overweight,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Obese,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Number of children measured,Unnamed: 27,Participation rate,Unnamed: 29
,,Reception,,,Year 6,,,Reception,,,Year 6,,,Reception,,,Year 6,,,Reception,,,Year 6,,,,,,
ONS Code,Area,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Reception,Year 6,Reception,Year 6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000025,Newham,2.95,2.4867,3.4966,2.8602,2.3745,3.4416,73.9571,72.6305,75.2414,57.2034,55.6187,58.773399999999995,10.6476,9.7644,11.6004,14.804,13.7071,15.9725,12.4453,11.4962,13.4608,25.1324,23.7746,26.540800000000004,4339,3776,90.10000000000001,91.2
E09000026,Redbridge,2.4134,1.9763,2.9442,2.2676,1.8283,2.8095,77.8434,76.5121,79.1198,60.10640000000001,58.4905,61.700500000000005,9.2683,8.3973,10.2196,14.949599999999998,13.8179,16.1566,10.475,9.5519,11.4759,22.6764,21.3329,24.0785,3895,3572,99.3,98.8
E09000027,Richmond upon Thames,0.4388,0.2385,0.8059000000000001,1.1827,0.7669,1.8198000000000003,81.4831,79.8358,83.0244,74.453,72.3205,76.4746,12.0667,10.7928,13.4683,13.305700000000002,11.7698,15.008,6.0114,5.1076,7.0633,11.0585,9.6511,12.642500000000002,2279,1691,94,92
E09000028,Southwark,1.0936,0.7837000000000001,1.5243,1.1565,0.8113,1.6462,70.891,69.2692,72.4612,55.0116,53.091100000000004,56.9172,14.9566,13.7462,16.2534,17.155,15.7531,18.654,13.058899999999998,11.9199,14.289,26.676899999999996,25.0104,28.4125,3109,2594,94,91.10000000000001
E09000029,Sutton,1.4655,1.0506,2.0409,1.8614,1.3476,2.5661,79.3103,77.6142,80.9096,64.5812,62.4227,66.6819,11.8534,10.6008,13.232199999999999,15.8738,14.3131,17.5699,7.370700000000001,6.3765,8.5059,17.6836,16.0477,19.4475,2320,1934,91.9,95.19999999999999
E09000030,Tower Hamlets,2.178,1.7247,2.7472,1.8295,1.3905,2.4037,74.1162,72.5624,75.6115,55.872699999999995,54.0041,57.7247,11.4583,10.3956,12.614500000000001,17.1606,15.793399999999998,18.62,12.2475,11.1514,13.435,25.1372,23.5465,26.797699999999995,3168,2733,94.3,90.4
E09000031,Waltham Forest,1.4052,1.0646,1.8528,2.6615,2.1286,3.3232999999999997,75.7671,74.3171,77.1605,59.54580000000001,57.72189999999999,61.3437,11.4999,10.4831,12.601399999999998,14.4074,13.159299999999998,15.7524,11.3278,10.3181,12.4226,23.3854,21.8594,24.9838,3487,2818,96.7,95.5
E09000032,Wandsworth,1.47,1.0729,2.0112,1.4632,1.0207,2.0934,78.7234,77.1037,80.2579,63.97580000000001,61.8371,66.0604,12.147,10.9435,13.4628,14.2785,12.8073,15.887899999999998,7.659599999999999,6.695999999999999,8.7488,20.2825,18.5706,22.1095,2585,1982,92.80000000000001,90.60000000000001
E09000033,Westminster,0.9987,0.6061,1.6412,0.905,0.5184,1.5752,75.8988,73.6715,77.9939,59.0498,56.3806,61.6667,12.4501,10.8756,14.2161,14.4042,12.617,16.3971,10.6525,9.1914,12.3143,25.641,23.3635,28.059299999999997,1502,1326,91.5,91.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
