Unnamed: 0,"NCMP 2010/11 to 2012/13
Obesity and excess weight prevalence by school year and electoral ward of child residence",Unnamed: 2,Unnamed: 3,Unnamed: 4,Reception (age 4-5 years),Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Year 6 (age 10-11),Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Reception (age 4-5 years).1,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Year 6 (age 10-11).1,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
,,,,,Number measured,Number obese,% obese,95% confidence limits,,,Number measured,Number obese,% obese,95% confidence limits,,,Number measured,Number excess weight,% excess weight,95% confidence limits,,,Number measured,Number excess weight,% excess weight,95% confidence limits,
,,,,,,,,Lower,Upper,,,,,Lower,Upper,,,,,Lower,Upper,,,,,Lower,Upper
Geog level,Code,Area name,LA code,LA name,,,,,,,,,,,,,,,,,,,,,,,
Ward,E05000001,Aldersgate,E09000001,City of London,12,s,s,s,s,,6,s,s,s,s,,12,s,s,s,s,,6,s,s,s,s
Ward,E05000015,Cripplegate,E09000001,City of London,25,s,s,s,s,,19,s,s,s,s,,25,s,s,s,s,,19,s,s,s,s
Ward,E05000017,Farringdon Within,E09000001,City of London,s,s,s,s,s,,s,s,s,s,s,,s,s,s,s,s,,s,s,s,s,s
Ward,E05000021,Portsoken,E09000001,City of London,25,s,s,s,s,,32,s,s,s,s,,25,s,s,s,s,,32,s,s,s,s
MSOA,E02000581,Kensington and Chelsea 005,E09000020,Kensington and Chelsea,238,23,0.09663865546218488,0.06526034067749234,0.14083111718808203,,255,68,0.26666666666666666,0.2161459872530552,0.32411313297376193,,238,58,0.24369747899159663,0.19350837669103965,0.30202890382771075,,255,107,0.4196078431372549,0.3606698278011165,0.48093205395770283
MSOA,E02000582,Kensington and Chelsea 006,E09000020,Kensington and Chelsea,71,s,s,s,s,,49,s,s,s,s,,71,10,0.14084507042253522,0.07834202212357166,0.24021749283475796,,49,s,s,s,s
MSOA,E02000583,Kensington and Chelsea 007,E09000020,Kensington and Chelsea,53,s,s,s,s,,62,15,0.24193548387096775,0.15245896205333748,0.36152507516027405,,53,10,0.18867924528301888,0.10585325107685911,0.3135845908670254,,62,25,0.4032258064516129,0.29024869095910666,0.5274953229959976
MSOA,E02000584,Kensington and Chelsea 008,E09000020,Kensington and Chelsea,118,s,s,s,s,,42,s,s,s,s,,118,17,0.1440677966101695,0.09193548088390029,0.2186440146914346,,42,s,s,s,s
MSOA,E02000585,Kensington and Chelsea 009,E09000020,Kensington and Chelsea,101,12,0.1188118811881188,0.0692871944618517,0.1962705260608108,,102,16,0.1568627450980392,0.09892289243814953,0.2397105619760899,,101,24,0.2376237623762376,0.16519963644581667,0.32927515819965236,,102,32,0.3137254901960784,0.23182974700235626,0.40914269967965944
MSOA,E02000586,Kensington and Chelsea 010,E09000020,Kensington and Chelsea,45,s,s,s,s,,30,s,s,s,s,,45,s,s,s,s,,30,s,s,s,s
MSOA,E02000587,Kensington and Chelsea 011,E09000020,Kensington and Chelsea,59,s,s,s,s,,39,s,s,s,s,,59,13,0.22033898305084745,0.1335419762792904,0.34132699367637087,,39,s,s,s,s
MSOA,E02000588,Kensington and Chelsea 012,E09000020,Kensington and Chelsea,20,s,s,s,s,,19,s,s,s,s,,20,s,s,s,s,,19,s,s,s,s
MSOA,E02000589,Kensington and Chelsea 013,E09000020,Kensington and Chelsea,87,s,s,s,s,,57,9,0.15789473684210525,0.08535795970355271,0.2736317694063802,,87,15,0.1724137931034483,0.10736292546557001,0.26517026873919847,,57,18,0.3157894736842105,0.2100428763882525,0.4447977469786345
MSOA,E02000590,Kensington and Chelsea 014,E09000020,Kensington and Chelsea,90,10,0.1111111111111111,0.06148319189297712,0.19257785021261034,,84,13,0.15476190476190477,0.09273310465265516,0.24698642210984803,,90,20,0.2222222222222222,0.14871335473639324,0.3184731039104549,,84,29,0.34523809523809523,0.25235014983935367,0.45166205181280294
